"","lat","long"
"229",45.137746,7.383914
"230",45.468258,7.754616
"231",45.355654,7.689217
"232",45.07204,6.883205
"233",45.458058,7.851118
"234",44.940038,7.052411
"235",45.448358,7.840518
"236",45.227052,7.785021
"237",45.244551,7.605717
"238",45.382254,7.621015
"239",45.135444,7.213011
"240",45.229151,7.653718
"241",45.026144,7.448118
"242",44.902039,7.236616
"243",45.142748,7.535817
"244",45.334155,7.796819
"245",45.128144,7.17821
"246",45.315154,7.80912
"247",45.395056,7.816719
"248",45.21705,7.630518
"249",45.105849,7.754523
"250",44.90654,7.310917
"251",45.350754,7.670316
"252",45.146651,7.849324
"253",45.167552,7.957226
"254",44.866439,7.298418
"255",45.099445,7.362315
"256",45.107044,7.273613
"257",44.946245,7.773026
"258",44.940736,6.859007
"259",45.025338,6.857305
"260",44.891741,7.492521
"261",45.384456,7.841119
"262",45.09325,7.880426
"263",44.958637,6.877507
"264",45.407758,7.993522
"265",45.14025,7.768022
"266",45.54976,7.832216
"267",45.413854,7.543412
"268",45.423057,7.769917
"269",45.381457,7.88572
"270",45.137543,7.054607
"271",45.54496,7.823316
"272",45.05,7.6666667
"273",45.215354,7.976726
"274",45.392056,7.759818
"275",44.819737,7.216017
"276",45.039044,7.421817
"277",45.489958,7.763116
"278",45.508458,7.749415
"279",45.26795,7.430813
"280",44.983646,7.745225
"281",45.048941,7.028508
"282",45.232647,7.214409
"283",45.102344,7.289413
"284",45.155147,7.445015
"285",45.076144,7.340715
"286",45.223549,7.496315
"287",45.373254,7.658016
"288",45.520757,7.549011
"289",45.208349,7.483815
"290",45.279952,7.620217
"291",45.158443,7.008106
"292",45.123848,7.63542
"293",45.190053,7.968226
"294",45.156753,8.092229
"295",45.385757,7.954822
"296",45.380756,7.818219
"297",45.494558,7.776416
"298",45.430657,7.757417
"299",44.84444,7.494922
"300",44.778939,7.500424
"301",45.24355,7.552116
"302",45.045145,7.468418
"303",45.114646,7.383515
"304",45.310056,7.976624
"305",45.112444,7.238412
"306",44.808336,7.152116
"307",44.91874,7.249216
"308",44.917244,7.744926
"309",44.95,7.6333333
"310",44.864541,7.570123
"311",45.3333333,7.9333333
"312",45.442457,7.768017
"313",NA,NA
"314",45.201451,7.778222
"315",44.954843,7.51142
"316",45.850969,7.936912
"317",45.426162,8.38093
"318",45.365158,8.072925
"319",45.494964,8.385329
"320",45.261459,8.408534
"321",45.81877,8.141718
"322",45.455262,8.280128
"323",45.308457,8.122527
"324",45.83047,8.112817
"325",45.351658,8.050725
"326",45.714469,8.279923
"327",45.357862,8.463033
"328",45.76497,8.305522
"329",45.480863,8.267127
"330",45.798768,8.032116
"331",45.909271,8.049014
"332",45.220859,8.505237
"333",45.357361,8.392032
"334",45.40936,8.199027
"335",45.400961,8.293529
"336",45.498164,8.326728
"337",45.75607,8.311622
"338",45.882972,8.162317
"339",45.308356,8.021025
"340",45.808271,8.293521
"341",45.396861,8.34833
"342",45.238158,8.368134
"343",45.848271,8.201818
"344",45.190454,8.099929
