"","x","y","share_100","year"
"322",-332,-566,0,2003
"323",-332,-554.5,0,2003
"324",-332,-543,0,2003
"325",-332,-531.5,0,2003
"326",-332,-520,0,2003
"327",-332,-508,0,2003
"328",-332,-496.5,0,2003
"329",-332,-485,0,2003
"330",-332,-473.5,0,2003
"331",-332,-462,0,2003
"332",-332,-450,0,2003
"333",-332,-438.5,0,2003
"334",-332,-427,0,2003
"335",-332,-415.5,0,2003
"336",-332,-404,0,2003
"337",-332,-392,0,2003
"338",-332,-380.5,0,2003
"339",-332,-369,0,2003
"340",-332,-357.5,0,2003
"341",-332,-346,0,2003
"342",-332,-334,0,2003
"343",-332,-322.5,0,2003
"344",-332,-311,0,2003
"345",-332,-299.5,0,2003
"346",-332,-288,0,2003
"347",-332,-276.5,0,2003
"348",-332,-265,0,2003
"349",-332,-253,0,2003
"350",-332,-241.5,0,2003
"351",-332,-230,0,2003
"352",-332,-218.5,0,2003
"353",-332,-207,0,2003
"354",-332,-195,0,2003
"355",-332,-183.5,0,2003
"356",-332,-172,0,2003
"357",-332,-160.5,0,2003
"358",-332,-149,0,2003
"359",-332,-137,0,2003
"360",-332,-125.5,0,2003
"361",-332,-114,0,2003
"362",-332,-102.3,0,2003
"363",-332,-90.8,0,2003
"364",-332,-79.25,0,2003
"365",-332,-67.7,0,2003
"366",-332,-56.1,0,2003
"367",-332,-44.5,0,2003
"368",-332,-32.9,0,2003
"369",-332,-21.3,0,2003
"370",-332,-9.705,0,2003
"371",-332,1.885,0,2003
"372",-332,13.49,0,2003
"373",-332,25.1,0.724601,2003
"374",-332,36.7,1.470301,2003
"375",-332,48.25,1.9044635,2003
"376",-332,59.8,1.350561,2003
"377",-332,71.4,2.507701,2003
"378",-332,83,3.416401,2003
"379",-332,94.4,1.179326,2003
"380",-332,106,0.8007885,2003
"381",-332,118,1.68315814285714,2003
"382",-332,129.5,0.806801,2003
"383",-332,141,0.106851,2003
"384",-332,152.5,1e-06,2003
"385",-332,164,1e-06,2003
"386",-332,176,1.621601,2003
"387",-332,187.5,1.835481,2003
"388",-332,199,2.076251,2003
"389",-332,210.5,0,2003
"390",-332,222,0,2003
"391",-332,234,0,2003
"392",-332,245.5,0,2003
"393",-332,257,0,2003
"394",-332,268.5,0,2003
"395",-332,280,0,2003
"396",-332,291.5,0,2003
"397",-332,303,0,2003
"398",-332,315,0,2003
"399",-332,326.5,0,2003
"400",-332,338,0,2003
"401",-320.5,-809.5,0,2003
"402",-320.5,-798,0,2003
"403",-320.5,-786.5,0,2003
"404",-320.5,-775,0,2003
"405",-320.5,-763,0,2003
"406",-320.5,-751.5,0,2003
"407",-320.5,-740,0,2003
"408",-320.5,-728.5,0,2003
"409",-320.5,-717,0,2003
"410",-320.5,-705,0,2003
"411",-320.5,-693.5,0,2003
"412",-320.5,-682,0,2003
"413",-320.5,-670.5,0,2003
"414",-320.5,-659,0,2003
"415",-320.5,-647,0,2003
"416",-320.5,-635.5,0,2003
"417",-320.5,-624,0,2003
"418",-320.5,-612.5,0,2003
"419",-320.5,-601,0,2003
"420",-320.5,-589,0,2003
"421",-320.5,-577.5,0,2003
"422",-320.5,-566,0,2003
"423",-320.5,-554.5,0,2003
"424",-320.5,-543,0,2003
"425",-320.5,-531.5,0,2003
"426",-320.5,-520,0,2003
"427",-320.5,-508,0,2003
"428",-320.5,-496.5,0,2003
"429",-320.5,-485,0,2003
"430",-320.5,-473.5,0,2003
"431",-320.5,-462,0,2003
"432",-320.5,-450,0,2003
"433",-320.5,-438.5,0,2003
"434",-320.5,-427,0,2003
"435",-320.5,-415.5,0,2003
"436",-320.5,-404,0,2003
"437",-320.5,-392,0,2003
"438",-320.5,-380.5,0,2003
"439",-320.5,-369,0,2003
"440",-320.5,-357.5,0,2003
"441",-320.5,-346,0,2003
"442",-320.5,-334,0,2003
"443",-320.5,-322.5,0,2003
"444",-320.5,-311,0,2003
"445",-320.5,-299.5,0,2003
"446",-320.5,-288,0,2003
"447",-320.5,-276.5,0,2003
"448",-320.5,-265,0,2003
"449",-320.5,-253,0,2003
"450",-320.5,-241.5,0,2003
"451",-320.5,-230,0,2003
"452",-320.5,-218.5,0,2003
"453",-320.5,-207,0,2003
"454",-320.5,-195,0,2003
"455",-320.5,-183.5,0,2003
"456",-320.5,-172,0,2003
"457",-320.5,-160.5,0,2003
"458",-320.5,-149,0,2003
"459",-320.5,-137,0,2003
"460",-320.5,-125.5,0,2003
"461",-320.5,-114,0,2003
"462",-320.5,-102.3,0,2003
"463",-320.5,-90.8,0,2003
"464",-320.5,-79.25,0,2003
"465",-320.5,-67.7,0,2003
"466",-320.5,-56.1,0,2003
"467",-320.5,-44.5,0,2003
"468",-320.5,-32.9,0,2003
"469",-320.5,-21.3,0,2003
"470",-320.5,-9.705,0,2003
"471",-320.5,1.885,0,2003
"472",-320.5,13.49,0,2003
"473",-320.5,25.1,0.498601,2003
"474",-320.5,36.7,1.36697242857143,2003
"475",-320.5,48.25,1.37286766666667,2003
"476",-320.5,59.8,2.229761,2003
"477",-320.5,71.4,1.89412957142857,2003
"478",-320.5,83,0.957201,2003
"479",-320.5,94.4,0.748161,2003
"480",-320.5,106,1.072651,2003
"481",-320.5,118,0.891781,2003
"482",-320.5,129.5,1.436651,2003
"483",-320.5,141,0.781451,2003
"484",-320.5,152.5,0.634534333333333,2003
"485",-320.5,164,0,2003
"486",-320.5,176,0.746301,2003
"487",-320.5,187.5,1.415901,2003
"488",-320.5,199,1.95694385714286,2003
"489",-320.5,210.5,1.30236766666667,2003
"490",-320.5,222,0,2003
"491",-320.5,234,0,2003
"492",-320.5,245.5,0,2003
"493",-320.5,257,0,2003
"494",-320.5,268.5,0,2003
"495",-320.5,280,0,2003
